px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
153.388	23.501	3.0669	0.468583	-0.0573342	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.173116
156.05	24.8083	3.05986	0.429459	-0.0445289	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.00484637
156.023	24.8107	2.97851	0.457131	-0.00296864	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.554634
158.849	26.0143	3.1312	0.370294	-0.0648484	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.683026
158.875	26.0176	3.13963	0.36886	-0.0631054	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.36216
161.461	27.4242	3.02864	0.513757	0.0805904	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.745279
161.471	27.4317	3.01224	0.526684	0.10142	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.292728
163.7	28.8131	2.7631	0.607955	0.0993972	163.625	28.7683	164.155	28.8064	2.64354	1.28825	1.49785
163.806	28.8177	2.88493	0.557967	0.0386303	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.67939
166.711	30.1665	3.19481	0.357784	-0.140088	166.828	30.2062	166.809	30.0721	2.63006	1.22694	3.27353
166.674	30.1581	3.08997	0.38134	-0.105784	166.748	29.7121	166.809	30.0721	2.63006	1.22694	0.803221
169.172	31.3822	2.89938	0.433621	0.00144723	169.097	31.3717	169.452	31.2706	2.61238	1.15075	1.22476
169.179	31.3829	2.90318	0.433469	0.00201259	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.0401559
172.098	32.3258	3.10314	0.249906	-0.131483	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.38533
172.09	32.3203	3.02972	0.253434	-0.124462	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.654499
174.694	33.4505	2.90757	0.407561	0.0622831	174.643	33.4625	174.685	33.4094	2.56021	0.960341	1.03659
174.658	33.4515	2.83739	0.422451	0.0839235	174.474	33.9157	174.685	33.4094	2.56021	0.960341	0.379343
177.081	34.2412	2.65331	0.323884	-0.0346006	177.03	34.2009	177.261	34.3262	2.52363	0.850119	1.05036
177.081	34.24	2.6285	0.326067	-0.030578	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.108967
179.995	35.1011	3.05137	0.253439	-0.0600042	180.145	35.1423	179.799	35.1289	2.47883	0.732949	4.55888
179.892	35.0826	2.84706	0.272237	-0.0358494	179.543	35.4767	179.799	35.1289	2.47883	0.732949	3.06619
182.589	35.7516	2.87561	0.220741	-0.0462638	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.0228317
